نمرات کلاس 701:
ایدی,نام,نام خانوادگی,هنر,ورزش,زبان,کارو فناوری,مطالعات اجتماعی,نگارش,املا,ادبیات فارسی,ریاضی,علوم,عربی,تفکر و سبک زندگی,دینی,قران,مثبت یک

نمرات کلاس 702
ایدی,نام,نام خانوادگی,هنر,ورزش,زبان,کارو فناوری,مطالعات اجتماعی,نگارش,املا,ادبیات فارسی,ریاضی,علوم,عربی,تفکر و سبک زندگی,دینی,قران,مثبت یک
1,ugh,hib,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0

نمرات کلاس 703
ایدی,نام,نام خانوادگی,هنر,ورزش,زبان,کارو فناوری,مطالعات اجتماعی,نگارش,املا,ادبیات فارسی,ریاضی,علوم,عربی,تفکر و سبک زندگی,دینی,قران,مثبت یک

نمرات کلاس 704
ایدی,نام,نام خانوادگی,هنر,ورزش,زبان,کارو فناوری,مطالعات اجتماعی,نگارش,املا,ادبیات فارسی,ریاضی,علوم,عربی,تفکر و سبک زندگی,دینی,قران,مثبت یک

نمرات کلاس 801
ایدی,نام,نام خانوادگی,هنر,ورزش,زبان,کارو فناوری,مطالعات اجتماعی,نگارش,املا,ادبیات فارسی,ریاضی,علوم,عربی,تفکر و سبک زندگی,دینی,قران,مثبت یک

نمرات کلاس 802
ایدی,نام,نام خانوادگی,هنر,ورزش,زبان,کارو فناوری,مطالعات اجتماعی,نگارش,املا,ادبیات فارسی,ریاضی,علوم,عربی,تفکر و سبک زندگی,دینی,قران,مثبت یک
1,علي,رضاعي,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0

نمرات کلاس 901
ایدی,نام,نام خانوادگی,هنر,ورزش,زبان,کارو فناوری,مطالعات اجتماعی,نگارش,املا,ادبیات فارسی,ریاضی,علوم,عربی,تفکر و سبک زندگی,دینی,قران,مثبت یک

